'''
Please cite this paper
Li, J., Zhang, G., Zhang, S. et al. Seismicity characteristics and interseismic 
locking of the Anninghe Fault, Southwest China: Insights from long-term dense 
seismic array observations. Earth Planets Space 77, 63 (2025). 
https://doi.org/10.1186/s40623-025-02167-z
'''
ot,lat,lon,dep,mag,dt_max,num_sta,ex,ey,ez,rms,evid
2009-01-09T03:22:13.650000Z,29.229663,102.302588,18.5,1.2,162.2,10,178.2,266.8,137.5,0.105,327
2009-01-09T10:21:51.240000Z,29.08901,102.447852,11.63,0.2,247.9,9,335.2,388.6,463.2,0.162,328
2009-01-09T22:23:20.960000Z,29.017157,102.430908,20.98,0.8,216.1,5,299.5,279.0,325.6,0.099,323
2009-01-10T02:09:51.810000Z,29.328402,102.587533,3.47,0.4,114.1,8,106.9,72.6,91.5,0.106,320
2009-01-10T08:06:35.610000Z,29.105172,102.397819,23.07,0.9,179.0,9,301.6,596.8,562.1,0.136,325
2009-01-10T12:05:02.200000Z,28.922003,102.504688,19.25,1.2,237.3,6,306.4,350.7,413.1,0.158,322
2009-01-10T19:18:07.040000Z,29.587754,102.060319,10.62,0.7,151.3,6,329.6,342.4,527.3,0.156,321
2009-01-11T04:03:21.290000Z,29.334216,102.595866,4.32,0.5,217.6,7,113.6,71.8,68.5,0.099,319
2009-01-11T11:15:50.090000Z,29.058801,102.350635,23.61,1.4,128.9,12,181.9,205.7,195.6,0.123,318
2009-01-13T01:07:25.180000Z,29.103145,102.395793,24.19,0.8,315.8,4,154.6,160.7,182.1,0.095,317
2009-01-13T20:07:49.900000Z,29.224143,102.416243,26.83,0.0,184.2,4,246.2,345.7,182.7,0.010,316
2009-01-14T00:09:14.660000Z,29.261005,102.21145,9.05,0.8,191.4,5,138.1,282.2,273.5,0.081,310
2009-01-14T10:04:20.350000Z,29.294539,102.269198,7.27,0.4,197.9,4,170.0,259.4,198.1,0.098,313
